codigo_comuna,nombre_comuna,eno_total,eno_chilean,eno_foreign,eno_desconocido,eno_top3_diseases,eno_rate_per_10k
13122,Peñalolén,1487,701,124,662,VIH | Parotiditis | Coqueluche,62.88
13605,Peñaflor,441,251,32,158,VIH | Parotiditis | Coqueluche,46.72
